mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,mp,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,bpm,basic_max_max,advanced_max_max,team,total,home,index_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,mp_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,bpm_opp,basic_max_max_opp,advanced_max_max_opp,team_opp,total_opp,home_opp,season,date,game_id,won
240.0,32.0,78.0,0.41,10.0,27.0,0.37,24.0,27.0,0.889,9.0,28.0,37.0,20.0,10.0,4.0,13.0,22.0,98.0,,,240.0,0.545,0.474,0.346,0.346,20.5,82.4,47.4,62.5,10.9,8.2,12.6,100.0,106.5,120.6,,240.0,240.0,LAC,98,0,1,240.0,40.0,74.0,0.541,12.0,25.0,0.48,19.0,27.0,0.704,6.0,35.0,41.0,26.0,8.0,3.0,14.0,18.0,111.0,,,240.0,0.646,0.622,0.338,0.365,17.6,79.5,52.6,65.0,8.7,5.9,14.0,100.0,120.6,106.5,,240.0,240.0,DEN,111,1,2020,20200913,2020-09-13,False
240.0,40.0,74.0,0.541,12.0,25.0,0.48,19.0,27.0,0.704,6.0,35.0,41.0,26.0,8.0,3.0,14.0,18.0,111.0,,,240.0,0.646,0.622,0.338,0.365,17.6,79.5,52.6,65.0,8.7,5.9,14.0,100.0,120.6,106.5,,240.0,240.0,DEN,111,1,0,240.0,32.0,78.0,0.41,10.0,27.0,0.37,24.0,27.0,0.889,9.0,28.0,37.0,20.0,10.0,4.0,13.0,22.0,98.0,,,240.0,0.545,0.474,0.346,0.346,20.5,82.4,47.4,62.5,10.9,8.2,12.6,100.0,106.5,120.6,,240.0,240.0,LAC,98,0,2020,20200913,2020-09-13,True
240.0,47.0,83.0,0.566,20.0,41.0,0.488,12.0,14.0,0.857,8.0,39.0,47.0,30.0,3.0,7.0,15.0,17.0,126.0,,,240.0,0.707,0.687,0.494,0.169,24.2,78.0,56.6,63.8,3.2,14.0,14.4,100.0,134.8,120.9,,240.0,240.0,UTA,126,0,1,240.0,42.0,91.0,0.462,17.0,41.0,0.415,12.0,18.0,0.667,11.0,25.0,36.0,28.0,10.0,1.0,6.0,18.0,113.0,,,240.0,0.571,0.555,0.451,0.198,22.0,75.8,43.4,66.7,10.7,2.4,5.7,100.0,120.9,134.8,,240.0,240.0,CLE,113,1,2020,20200302,2020-03-02,True
240.0,42.0,91.0,0.462,17.0,41.0,0.415,12.0,18.0,0.667,11.0,25.0,36.0,28.0,10.0,1.0,6.0,18.0,113.0,,,240.0,0.571,0.555,0.451,0.198,22.0,75.8,43.4,66.7,10.7,2.4,5.7,100.0,120.9,134.8,,240.0,240.0,CLE,113,1,0,240.0,47.0,83.0,0.566,20.0,41.0,0.488,12.0,14.0,0.857,8.0,39.0,47.0,30.0,3.0,7.0,15.0,17.0,126.0,,,240.0,0.707,0.687,0.494,0.169,24.2,78.0,56.6,63.8,3.2,14.0,14.4,100.0,134.8,120.9,,240.0,240.0,UTA,126,0,2020,20200302,2020-03-02,False
240.0,37.0,86.0,0.43,9.0,33.0,0.273,21.0,31.0,0.677,10.0,35.0,45.0,27.0,11.0,9.0,15.0,23.0,104.0,,,240.0,0.522,0.483,0.384,0.36,20.8,70.0,45.9,73.0,10.7,17.0,13.1,100.0,101.6,107.5,,240.0,240.0,MIA,104,0,1,240.0,38.0,91.0,0.418,14.0,38.0,0.368,20.0,28.0,0.714,15.0,38.0,53.0,28.0,7.0,6.0,17.0,25.0,110.0,,,240.0,0.532,0.495,0.418,0.308,30.0,79.2,54.1,73.7,6.8,11.3,14.1,100.0,107.5,101.6,,240.0,240.0,NOP,110,1,2020,20200306,2020-03-06,False
240.0,38.0,91.0,0.418,14.0,38.0,0.368,20.0,28.0,0.714,15.0,38.0,53.0,28.0,7.0,6.0,17.0,25.0,110.0,,,240.0,0.532,0.495,0.418,0.308,30.0,79.2,54.1,73.7,6.8,11.3,14.1,100.0,107.5,101.6,,240.0,240.0,NOP,110,1,0,240.0,37.0,86.0,0.43,9.0,33.0,0.273,21.0,31.0,0.677,10.0,35.0,45.0,27.0,11.0,9.0,15.0,23.0,104.0,,,240.0,0.522,0.483,0.384,0.36,20.8,70.0,45.9,73.0,10.7,17.0,13.1,100.0,101.6,107.5,,240.0,240.0,MIA,104,0,2020,20200306,2020-03-06,True
240.0,39.0,84.0,0.464,9.0,30.0,0.3,9.0,13.0,0.692,9.0,38.0,47.0,29.0,7.0,4.0,19.0,15.0,96.0,,,240.0,0.535,0.518,0.357,0.155,20.5,74.5,49.5,74.4,7.1,8.3,17.5,100.0,97.7,123.1,,240.0,240.0,MEM,96,0,1,240.0,45.0,95.0,0.474,18.0,47.0,0.383,13.0,17.0,0.765,13.0,35.0,48.0,30.0,11.0,9.0,10.0,11.0,121.0,,,240.0,0.59,0.568,0.495,0.179,25.5,79.5,50.5,66.7,11.2,16.7,8.9,100.0,123.1,97.7,,240.0,240.0,DAL,121,1,2020,20200306,2020-03-06,False
240.0,45.0,95.0,0.474,18.0,47.0,0.383,13.0,17.0,0.765,13.0,35.0,48.0,30.0,11.0,9.0,10.0,11.0,121.0,,,240.0,0.59,0.568,0.495,0.179,25.5,79.5,50.5,66.7,11.2,16.7,8.9,100.0,123.1,97.7,,240.0,240.0,DAL,121,1,0,240.0,39.0,84.0,0.464,9.0,30.0,0.3,9.0,13.0,0.692,9.0,38.0,47.0,29.0,7.0,4.0,19.0,15.0,96.0,,,240.0,0.535,0.518,0.357,0.155,20.5,74.5,49.5,74.4,7.1,8.3,17.5,100.0,97.7,123.1,,240.0,240.0,MEM,96,0,2020,20200306,2020-03-06,True
240.0,35.0,78.0,0.449,22.0,53.0,0.415,17.0,23.0,0.739,8.0,27.0,35.0,22.0,7.0,2.0,17.0,21.0,109.0,,,240.0,0.618,0.59,0.679,0.295,20.0,75.0,46.1,62.9,7.3,3.6,16.2,100.0,114.4,122.8,,240.0,240.0,HOU,109,0,1,240.0,47.0,83.0,0.566,12.0,27.0,0.444,11.0,18.0,0.611,9.0,32.0,41.0,30.0,11.0,5.0,15.0,17.0,117.0,,,240.0,0.643,0.639,0.325,0.217,25.0,80.0,53.9,63.8,11.5,20.0,14.2,100.0,122.8,114.4,,240.0,240.0,LAL,117,1,2020,20200906,2020-09-06,False
240.0,47.0,83.0,0.566,12.0,27.0,0.444,11.0,18.0,0.611,9.0,32.0,41.0,30.0,11.0,5.0,15.0,17.0,117.0,,,240.0,0.643,0.639,0.325,0.217,25.0,80.0,53.9,63.8,11.5,20.0,14.2,100.0,122.8,114.4,,240.0,240.0,LAL,117,1,0,240.0,35.0,78.0,0.449,22.0,53.0,0.415,17.0,23.0,0.739,8.0,27.0,35.0,22.0,7.0,2.0,17.0,21.0,109.0,,,240.0,0.618,0.59,0.679,0.295,20.0,75.0,46.1,62.9,7.3,3.6,16.2,100.0,114.4,122.8,,240.0,240.0,HOU,109,0,2020,20200906,2020-09-06,True
240.0,34.0,91.0,0.374,15.0,46.0,0.326,21.0,28.0,0.75,6.0,42.0,48.0,18.0,7.0,8.0,11.0,25.0,104.0,,,240.0,0.503,0.456,0.505,0.308,11.1,77.8,44.4,52.9,6.5,13.8,9.6,100.0,96.8,98.6,,240.0,240.0,MIN,104,0,1,240.0,40.0,94.0,0.426,9.0,36.0,0.25,17.0,26.0,0.654,12.0,48.0,60.0,24.0,4.0,12.0,17.0,22.0,106.0,,,240.0,0.503,0.473,0.383,0.277,22.2,88.9,55.6,60.0,3.7,26.7,13.9,100.0,98.6,96.8,,240.0,240.0,MIL,106,1,2020,20200101,2020-01-01,False
240.0,40.0,94.0,0.426,9.0,36.0,0.25,17.0,26.0,0.654,12.0,48.0,60.0,24.0,4.0,12.0,17.0,22.0,106.0,,,240.0,0.503,0.473,0.383,0.277,22.2,88.9,55.6,60.0,3.7,26.7,13.9,100.0,98.6,96.8,,240.0,240.0,MIL,106,1,0,240.0,34.0,91.0,0.374,15.0,46.0,0.326,21.0,28.0,0.75,6.0,42.0,48.0,18.0,7.0,8.0,11.0,25.0,104.0,,,240.0,0.503,0.456,0.505,0.308,11.1,77.8,44.4,52.9,6.5,13.8,9.6,100.0,96.8,98.6,,240.0,240.0,MIN,104,0,2020,20200101,2020-01-01,True
240.0,39.0,84.0,0.464,11.0,35.0,0.314,17.0,25.0,0.68,6.0,26.0,32.0,25.0,10.0,3.0,8.0,24.0,106.0,,,240.0,0.558,0.53,0.417,0.298,14.0,66.7,39.0,64.1,10.6,6.0,7.8,100.0,111.9,130.9,,240.0,240.0,DET,106,0,1,240.0,42.0,83.0,0.506,14.0,33.0,0.424,26.0,32.0,0.813,13.0,37.0,50.0,28.0,7.0,4.0,13.0,18.0,124.0,,,240.0,0.639,0.59,0.398,0.386,33.3,86.0,61.0,66.7,7.4,8.2,11.8,100.0,130.9,111.9,,240.0,240.0,PHI,124,1,2020,20200311,2020-03-11,False
240.0,42.0,83.0,0.506,14.0,33.0,0.424,26.0,32.0,0.813,13.0,37.0,50.0,28.0,7.0,4.0,13.0,18.0,124.0,,,240.0,0.639,0.59,0.398,0.386,33.3,86.0,61.0,66.7,7.4,8.2,11.8,100.0,130.9,111.9,,240.0,240.0,PHI,124,1,0,240.0,39.0,84.0,0.464,11.0,35.0,0.314,17.0,25.0,0.68,6.0,26.0,32.0,25.0,10.0,3.0,8.0,24.0,106.0,,,240.0,0.558,0.53,0.417,0.298,14.0,66.7,39.0,64.1,10.6,6.0,7.8,100.0,111.9,130.9,,240.0,240.0,DET,106,0,2020,20200311,2020-03-11,True
